Index,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime,ActivePower,IdlePower
523,1100000.0,480000000.0,413000000.0,1655.174,9.725,1017.6469999999999,3278.219,575.769,20.551,12495.0,4857.0,2573.0,11016243.0,11028765.0,4.678,2.805
524,1100000.0,480000000.0,543000000.0,1565.9679999999998,8.681000000000001,944.7710000000001,2554.651,527.747,19.031,10676.0,4422.0,2462.0,11029004.0,11039704.0,4.888,2.851
525,1100000.0,480000000.0,633000000.0,1527.649,8.214,916.047,2398.44,503.966,18.414,10127.0,4348.0,2290.0,11039921.0,11050070.0,5.056,2.952
526,1100000.0,480000000.0,728000000.0,1501.755,7.905,905.705,2237.661,492.917,17.762,9695.0,4131.0,2337.0,11050273.0,11059988.0,5.143,2.965
527,1100000.0,480000000.0,825000000.0,1473.993,7.569,869.972,2085.6820000000002,472.042,17.115,9261.0,4106.0,2170.0,11060186.0,11069467.0,5.416,3.033
528,1100000.0,420000000.0,165000000.0,2189.365,16.61,1410.3120000000001,8177.210999999999,931.98,32.473,24724.0,6734.0,4091.0,11069761.0,11094536.0,3.959,2.688
529,1100000.0,420000000.0,206000000.0,2007.3220000000001,14.184000000000001,1276.98,6239.606,799.926,28.451999999999998,20111.0,6110.0,3515.0,11094961.0,11115114.0,3.931,2.76
530,1100000.0,420000000.0,275000000.0,1832.4489999999998,12.014000000000001,1208.368,4512.2609999999995,689.972,24.386,16032.0,5597.0,3234.0,11115477.0,11131544.0,4.115,2.791
531,1100000.0,420000000.0,413000000.0,1656.12,10.079,1007.8489999999999,3260.994,566.5,20.863000000000003,12594.0,4801.0,2570.0,11131836.0,11144457.0,4.559,2.807
532,1100000.0,420000000.0,543000000.0,1566.971,8.741,932.686,2534.291,527.8340000000001,18.835,10791.0,4590.0,2276.0,11144697.0,11155512.0,4.624,2.858
533,1100000.0,420000000.0,633000000.0,1527.501,8.248,908.503,2445.23,504.405,18.323,10226.0,4180.0,2466.0,11155730.0,11165978.0,4.736,2.921
534,1100000.0,420000000.0,728000000.0,1499.329,7.95,888.26,2295.1639999999998,484.58,17.512999999999998,9803.0,4105.0,2304.0,11166185.0,11176008.0,4.911,2.952
535,1100000.0,420000000.0,825000000.0,1477.214,7.681,889.682,2237.841,491.32199999999995,17.305,9563.0,4214.0,2162.0,11176208.0,11185791.0,5.711,3.062
536,1100000.0,350000000.0,165000000.0,2192.486,16.652,1377.259,8282.689,908.9939999999999,32.332,24872.0,6875.0,3901.0,11186090.0,11211013.0,3.713,2.698
537,1100000.0,350000000.0,206000000.0,2008.2420000000002,14.222999999999999,1347.4229999999998,6564.842,803.068,28.342,20314.0,6531.0,3453.0,11211440.0,11231798.0,3.81,2.746
538,1100000.0,350000000.0,275000000.0,1834.319,11.948,1124.277,4583.611,679.6610000000001,24.456,15928.0,5459.0,2966.0,11232152.0,11248114.0,3.936,2.772
539,1100000.0,350000000.0,413000000.0,1653.225,9.674,990.8860000000001,3214.83,561.425,20.629,12383.0,4747.0,2561.0,11248407.0,11260816.0,4.155,2.8
540,1100000.0,350000000.0,543000000.0,1565.861,8.701,916.352,2724.9359999999997,510.908,19.17,10878.0,4387.0,2353.0,11261054.0,11271956.0,4.289,2.846
541,1100000.0,350000000.0,633000000.0,1528.575,8.172,893.252,2533.8320000000003,486.792,18.273,10442.0,4296.0,2203.0,11272170.0,11282634.0,4.607,2.894
542,1100000.0,350000000.0,728000000.0,1501.545,7.888,878.686,2564.891,475.67900000000003,17.569000000000003,10295.0,4140.0,2236.0,11282840.0,11293156.0,4.649,2.956
543,1100000.0,350000000.0,825000000.0,1476.361,7.621,864.442,2541.999,469.65,17.238,10168.0,4044.0,2187.0,11293352.0,11303539.0,4.646,2.955
544,1100000.0,266000000.0,165000000.0,2188.815,16.658,1467.3410000000001,8277.927,938.998,32.283,25064.0,6837.0,4200.0,11303833.0,11328948.0,3.52,2.637
545,1100000.0,266000000.0,206000000.0,2004.493,14.164000000000001,1253.211,6182.048000000001,784.898,28.592,19787.0,6091.0,3386.0,11329379.0,11349209.0,3.5,2.687
546,1100000.0,266000000.0,275000000.0,1827.5910000000001,11.967,1114.151,4594.463,668.44,24.354,15898.0,5371.0,3017.0,11349571.0,11365503.0,3.647,2.743
547,1100000.0,266000000.0,413000000.0,1654.2979999999998,9.738,992.738,3445.245,559.105,20.866,12700.0,4579.0,2678.0,11365793.0,11378521.0,3.949,2.8
548,1100000.0,266000000.0,543000000.0,1567.086,8.727,923.052,3097.67,508.764,19.124000000000002,11782.0,4430.0,2306.0,11378758.0,11390564.0,4.09,2.857
549,1100000.0,266000000.0,633000000.0,1529.726,8.249,907.404,3149.9590000000003,489.92400000000004,18.156,11636.0,4205.0,2325.0,11390780.0,11402438.0,4.183,2.898
550,1100000.0,266000000.0,728000000.0,1500.114,7.9639999999999995,880.3889999999999,3132.1690000000003,477.296,17.524,11501.0,3964.0,2393.0,11402646.0,11414168.0,4.171,2.942
551,1100000.0,266000000.0,825000000.0,1475.309,7.6129999999999995,872.3510000000001,2990.92,467.936,17.121,11272.0,4038.0000000000014,2179.0,11414364.0,11425655.0,4.413,2.939
552,1100000.0,177000000.0,165000000.0,2187.013,16.541,1371.892,8047.222,911.201,32.871,24238.0,6857.0,3857.0,11425952.0,11450241.0,3.434,2.584
